sept, 2, 2, 1236
serious, 2, 2, 1238
serving, 1, 1, 1240
sery, 1, 1, 1241
set, 3, 3, 1242
seven, 1, 1, 1245
several, 2, 1, 1246
she, 1, 1, 1247
shout, 1, 1, 1248
show, 1, 1, 1249
showed, 2, 1, 1250
shown, 1, 1, 1251
sidebyside, 1, 1, 1252
sign, 1, 1, 1253
signatory, 1, 1, 1254
similar, 2, 2, 1255
since, 3, 2, 1257
situation, 3, 3, 1259
sky, 1, 1, 1262
small, 1, 1, 1263
so, 1, 1, 1264
socalled, 1, 1, 1265
socialist, 3, 1, 1266
society, 1, 1, 1267
some, 4, 2, 1268
son, 2, 2, 1270
soon, 2, 1, 1272
south, 2, 1, 1273
spain, 5, 2, 1274
spaniard, 4, 3, 1276
spanish, 27, 5, 1279
speaking, 1, 1, 1284
special, 1, 1, 1285
specifically, 2, 1, 1286
spectacular, 1, 1, 1287
spent, 1, 1, 1288
spinal, 1, 1, 1289
splendidly, 1, 1, 1290
spokesman, 1, 1, 1291
spokeswoman, 3, 1, 1292
spring, 1, 1, 1293
staff, 1, 1, 1294
state, 5, 3, 1295
statement, 2, 1, 1298
step, 1, 1, 1299
still, 2, 1, 1300
stir, 1, 1, 1301
stop, 1, 1, 1302
story, 2, 2, 1303
strategy, 1, 1, 1305
street, 1, 1, 1306
strike, 1, 1, 1307
string, 1, 1, 1308
strong, 1, 1, 1309
strongman, 1, 1, 1310
stubbornly, 1, 1, 1311
subject, 1, 1, 1312
succeeded, 1, 1, 1313
suddenly, 1, 1, 1314
summit, 8, 4, 1315
sunday, 4, 2, 1319
sunny, 1, 1, 1321
support, 3, 3, 1322
supporter, 3, 1, 1325
supporting, 1, 1, 1326
surgery, 5, 2, 1327
surprise, 1, 1, 1329
sworn, 2, 2, 1330
take, 3, 3, 1332
taken, 3, 2, 1335
taking, 1, 1, 1337
talking, 2, 2, 1338
television, 5, 2, 1340
tense, 1, 1, 1342
term, 1, 1, 1343
terrorism, 4, 2, 1344
test, 1, 1, 1346
than, 5, 2, 1347
that, 42, 6, 1349
their, 5, 2, 1355
them, 2, 1, 1357
then, 3, 1, 1358
there, 2, 1, 1359
they, 6, 4, 1360
thi, 7, 3, 1364
those, 2, 1, 1367
thought, 2, 1, 1368
threat, 1, 1, 1369
threefeet, 1, 1, 1370
through, 4, 3, 1371
throwing, 1, 1, 1374
tight, 2, 2, 1375
time, 2, 2, 1377
to, 66, 6, 1379
told, 4, 4, 1385
tony, 1, 1, 1389
too, 1, 1, 1390
